"","TRUNC(crsarrtime/100L)","dayofweek","n_flights","med_delay","na.rm","mean_delay"
"1",2,1,601,-2,TRUE,8.11647254575707
"2",NA,4,1,612,TRUE,612
"3",NA,7,1,199,TRUE,199
"4",0,1,23907,-1,TRUE,8.93148450244698
"5",0,2,21673,-3,TRUE,5.97443824112952
"6",0,3,22926,-2,TRUE,8.40094216173777
"7",0,4,24350,1,TRUE,12.3591786447639
"8",0,5,25051,0,TRUE,11.3436988543372
"9",0,6,13848,-5,TRUE,3.83058925476603
"10",0,7,25102,-1,TRUE,9.30216715799538
"11",1,1,3321,-2,TRUE,7.78319783197832
"12",1,2,2811,-3,TRUE,5.52614727854856
"13",1,3,3118,-3,TRUE,6.66388710711995
"14",1,4,3596,-1,TRUE,8.99555061179088
"15",1,5,3614,-1,TRUE,9.47675705589375
"16",1,6,2335,-3,TRUE,4.2423982869379
"17",1,7,3663,-2,TRUE,7.11766311766312
"18",2,2,480,-1,TRUE,8.99583333333333
"19",2,3,542,0,TRUE,9.9280442804428
"20",2,4,635,0,TRUE,10.3133858267717
"21",2,5,637,-1,TRUE,11.0266875981162
"22",2,6,577,-2,TRUE,7.26343154246101
"23",2,7,773,-3,TRUE,5.16429495472186
"24",3,1,400,3,TRUE,12.9525
"25",3,2,379,0,TRUE,6.44327176781003
"26",3,3,378,3,TRUE,13.010582010582
"27",3,4,417,3,TRUE,15.1247002398082
"28",3,5,422,2,TRUE,14.7559241706161
"29",3,6,424,0,TRUE,10.5070754716981
"30",3,7,446,-2,TRUE,7.10986547085202
"31",4,1,1513,-9,TRUE,-3.99933906146728
"32",4,2,1358,-8,TRUE,-1.56701030927835
"33",4,3,1412,-8,TRUE,-3.36189801699717
"34",4,4,1629,-7,TRUE,-1.20503376304481
"35",4,5,1714,-7,TRUE,-1.55309218203034
"36",4,6,1568,-7,TRUE,-0.857142857142857
"37",4,7,1745,-7,TRUE,-0.648710601719198
"38",5,1,14214,-6,TRUE,1.49992964682707
"39",5,2,12815,-6,TRUE,0.202106905969567
"40",5,3,13158,-6,TRUE,0.470664234686122
"41",5,4,14307,-5,TRUE,2.18920807996086
"42",5,5,14713,-5,TRUE,2.5847209950384
"43",5,6,12643,-6,TRUE,0.314086846476311
"44",5,7,13699,-5,TRUE,2.4268924739032
"45",6,1,32281,-6,TRUE,-0.57386698057681
"46",6,2,30742,-6,TRUE,-1.42027194066749
"47",6,3,31204,-6,TRUE,-1.21651070375593
"48",6,4,32895,-6,TRUE,0.075452196382429
"49",6,5,33279,-6,TRUE,-0.125905225517594
"50",6,6,25323,-6,TRUE,-1.06101172846819
"51",6,7,24515,-6,TRUE,-0.793799714460534
"52",7,1,95905,-6,TRUE,-1.23091601063552
"53",7,2,94071,-7,TRUE,-2.5096469687789
"54",7,3,93793,-7,TRUE,-2.51555020097449
"55",7,4,96102,-6,TRUE,-1.65114149549437
"56",7,5,96050,-6,TRUE,-1.449057782405
"57",7,6,69152,-7,TRUE,-2.22651550208237
"58",7,7,64200,-8,TRUE,-2.72926791277259
"59",8,1,131344,-6,TRUE,-0.591956998416373
"60",8,2,128896,-6,TRUE,-1.76210278053625
"61",8,3,128409,-7,TRUE,-2.22646387714257
"62",8,4,131275,-6,TRUE,-1.25756617787088
"63",8,5,130728,-6,TRUE,-1.10136313567101
"64",8,6,109613,-7,TRUE,-1.59876109585542
"65",8,7,94496,-8,TRUE,-3.35330596004064
"66",9,1,161946,-5,TRUE,0.332357699480074
"67",9,2,156469,-6,TRUE,-1.16671033878915
"68",9,3,155762,-6,TRUE,-1.37906549736136
"69",9,4,161611,-6,TRUE,-0.313741020103829
"70",9,5,161194,-6,TRUE,-0.140228544486768
"71",9,6,139759,-7,TRUE,-1.62761611059037
"72",9,7,134326,-8,TRUE,-3.07581555320638
"73",10,1,172788,-5,TRUE,0.970269926152279
"74",10,2,166820,-6,TRUE,-0.497488310754105
"75",10,3,165690,-6,TRUE,-0.781604200615607
"76",10,4,172635,-5,TRUE,0.541732557129203
"77",10,5,172335,-5,TRUE,0.665465517741608
"78",10,6,153378,-6,TRUE,-1.09408128936353
"79",10,7,155831,-7,TRUE,-2.41518054815794
"80",11,1,164044,-5,TRUE,1.97724391017044
"81",11,2,159486,-5,TRUE,0.22083443060833
"82",11,3,158963,-6,TRUE,0.108830356749683
"83",11,4,163142,-5,TRUE,1.59815375562393
"84",11,5,163089,-5,TRUE,1.6591860885774
"85",11,6,151316,-6,TRUE,-0.196786856644374
"86",11,7,155589,-7,TRUE,-1.56629967414149
"87",12,1,170204,-5,TRUE,2.83341754600362
"88",12,2,164228,-5,TRUE,0.790522931534209
"89",12,3,163672,-5,TRUE,1.027481792854
"90",12,4,169144,-4,TRUE,2.69643617272856
"91",12,5,169450,-4,TRUE,2.89678371200944
"92",12,6,153514,-5,TRUE,0.674576911552041
"93",12,7,162727,-6,TRUE,-0.187860650045782
"94",13,1,165698,-4,TRUE,3.82966601890186
"95",13,2,159410,-5,TRUE,1.77824477761747
"96",13,3,159215,-5,TRUE,1.84471940457871
"97",13,4,164778,-4,TRUE,3.66757698236415
"98",13,5,164888,-4,TRUE,3.90924142448207
"99",13,6,149772,-5,TRUE,1.4191037042972
"100",13,7,162442,-5,TRUE,1.26915452900112
"101",14,1,169205,-3,TRUE,5.00891817617683
"102",14,2,163740,-4,TRUE,2.71724074752657
"103",14,3,163485,-4,TRUE,2.87795822246689
"104",14,4,167693,-3,TRUE,5.31161706213139
"105",14,5,168543,-3,TRUE,5.37016666370007
"106",14,6,153530,-5,TRUE,2.28918778088973
"107",14,7,164558,-5,TRUE,2.71182197158449
"108",15,1,159906,-3,TRUE,5.78885720360712
"109",15,2,156666,-4,TRUE,3.8315014106443
"110",15,3,156431,-4,TRUE,4.14239504957457
"111",15,4,158320,-3,TRUE,6.36263895907024
"112",15,5,158861,-2,TRUE,6.75356443683472
"113",15,6,146785,-5,TRUE,2.87014340702388
"114",15,7,156812,-4,TRUE,3.85202025355202
"115",16,1,187572,-2,TRUE,7.24013178939287
"116",16,2,183326,-3,TRUE,4.94777063809825
"117",16,3,183577,-3,TRUE,5.44086132794413
"118",16,4,185257,-2,TRUE,8.04920731740231
"119",16,5,186512,-2,TRUE,8.29701038002917
"120",16,6,166634,-5,TRUE,3.51359866533841
"121",16,7,185199,-4,TRUE,5.2195584209418
"122",17,1,163173,-2,TRUE,8.45088954667745
"123",17,2,159010,-3,TRUE,6.18233444437457
"124",17,3,160016,-3,TRUE,7.06623712628737
"125",17,4,161417,-1,TRUE,9.8474819876469
"126",17,5,162417,-1,TRUE,9.91954044219509
"127",17,6,137724,-4,TRUE,4.36572420202724
"128",17,7,160258,-3,TRUE,6.81746309076614
"129",18,1,183203,-2,TRUE,9.51964214559805
"130",18,2,178352,-3,TRUE,7.10474230734727
"131",18,3,179081,-2,TRUE,8.1345815580659
"132",18,4,179858,0,TRUE,11.2953830243859
"133",18,5,182190,-1,TRUE,10.6628080575224
"134",18,6,147109,-5,TRUE,4.53966786532435
"135",18,7,180805,-2,TRUE,8.17855147811178
"136",19,1,166642,-2,TRUE,10.0120857886967
"137",19,2,162209,-3,TRUE,7.55323070853035
"138",19,3,163682,-2,TRUE,8.99819772485673
"139",19,4,164511,0,TRUE,12.6899052343004
"140",19,5,166724,-1,TRUE,11.6596830690243
"141",19,6,130300,-4,TRUE,4.61682271680737
"142",19,7,164364,-2,TRUE,9.32530846170694
"143",20,1,173228,-2,TRUE,9.98640520008313
"144",20,2,165884,-3,TRUE,7.42723228280003
"145",20,3,169848,-2,TRUE,8.93293415288964
"146",20,4,171933,0,TRUE,12.7804726259648
"147",20,5,174450,-1,TRUE,11.7729034107194
"148",20,6,123128,-5,TRUE,3.84273276590215
"149",20,7,172681,-2,TRUE,9.84162704640348
"150",21,1,154733,-2,TRUE,10.1004116768886
"151",21,2,148353,-3,TRUE,7.54605569149259
"152",21,3,153369,-2,TRUE,9.24376503726307
"153",21,4,155994,1,TRUE,13.5707014372348
"154",21,5,158257,-1,TRUE,12.2228021509317
"155",21,6,106235,-5,TRUE,4.10114369087401
"156",21,7,157623,-1,TRUE,10.4939000019033
"157",22,1,126552,-2,TRUE,9.73714362475504
"158",22,2,118793,-3,TRUE,6.9834165312771
"159",22,3,123418,-2,TRUE,9.18757393573061
"160",22,4,126956,1,TRUE,13.8110841551404
"161",22,5,128583,0,TRUE,12.0515542490065
"162",22,6,79152,-5,TRUE,3.6464144936325
"163",22,7,127586,-1,TRUE,10.8250670136222
"164",23,1,96304,-2,TRUE,8.41331616547599
"165",23,2,87503,-3,TRUE,6.15231477777905
"166",23,3,93241,-3,TRUE,7.89976512478416
"167",23,4,98189,0,TRUE,11.9419996129913
"168",23,5,100159,-1,TRUE,10.2053035673279
"169",23,6,59301,-5,TRUE,2.82595571744153
"170",23,7,99922,-1,TRUE,9.13367426592742
"171",24,1,7,4,TRUE,23.4285714285714
"172",24,2,6,12,TRUE,27.5
"173",24,3,13,-4,TRUE,14.1538461538462
"174",24,4,7,-2,TRUE,2.85714285714286
"175",24,5,10,-11,TRUE,-10
"176",24,6,9,-2,TRUE,-4.22222222222222
"177",24,7,7,-11,TRUE,10.7142857142857
