"","time","dayofweek","n_flights","med_delay","mean_delay"
"1",0,1,24194,-1,8.93148450244698
"2",0,2,21926,-3,5.97443824112952
"3",0,3,23200,-2,8.40094216173777
"4",0,4,24628,1,12.3591786447639
"5",0,5,25315,0,11.3436988543372
"6",0,6,13937,-5,3.83058925476603
"7",0,7,25397,-1,9.30216715799538
"8",1,1,3364,-2,7.78319783197832
"9",1,2,2846,-3,5.52614727854856
"10",1,3,3164,-3,6.66388710711995
"11",1,4,3641,-1,8.99555061179088
"12",1,5,3653,-1,9.47675705589375
"13",1,6,2350,-3,4.2423982869379
"14",1,7,3712,-2,7.11766311766312
"15",2,1,606,-2,8.11647254575707
"16",2,2,483,-1,8.99583333333333
"17",2,3,547,0,9.9280442804428
"18",2,4,639,0,10.3133858267717
"19",2,5,638,-1,11.0266875981162
"20",2,6,581,-2,7.26343154246101
"21",2,7,777,-3,5.16429495472186
"22",3,1,407,3,12.9525
"23",3,2,382,0,6.44327176781003
"24",3,3,381,3,13.010582010582
"25",3,4,418,3,15.1247002398082
"26",3,5,428,2,14.7559241706161
"27",3,6,427,0,10.5070754716981
"28",3,7,451,-2,7.10986547085202
"29",4,1,1529,-9,-3.99933906146728
"30",4,2,1365,-8,-1.56701030927835
"31",4,3,1419,-8,-3.36189801699717
"32",4,4,1641,-7,-1.20503376304481
"33",4,5,1724,-7,-1.55309218203034
"34",4,6,1576,-7,-0.857142857142857
"35",4,7,1760,-7,-0.648710601719198
"36",5,1,14326,-6,1.49992964682707
"37",5,2,12906,-6,0.202106905969567
"38",5,3,13248,-6,0.470664234686123
"39",5,4,14408,-5,2.18920807996086
"40",5,5,14825,-5,2.5847209950384
"41",5,6,12726,-6,0.314086846476311
"42",5,7,13817,-5,2.4268924739032
"43",6,1,32688,-6,-0.57386698057681
"44",6,2,31097,-6,-1.42027194066749
"45",6,3,31521,-6,-1.21651070375593
"46",6,4,33250,-6,0.0754521963824289
"47",6,5,33643,-6,-0.125905225517594
"48",6,6,25633,-6,-1.06101172846819
"49",6,7,24755,-6,-0.793799714460534
"50",7,1,97146,-6,-1.23091601063552
"51",7,2,95317,-7,-2.5096469687789
"52",7,3,94872,-7,-2.51555020097449
"53",7,4,97368,-6,-1.65114149549437
"54",7,5,97321,-6,-1.449057782405
"55",7,6,70044,-7,-2.22651550208237
"56",7,7,64844,-8,-2.72926791277259
"57",8,1,132743,-6,-0.591956998416372
"58",8,2,130438,-6,-1.76210278053625
"59",8,3,129779,-7,-2.22646387714257
"60",8,4,132734,-6,-1.25756617787088
"61",8,5,132289,-6,-1.10136313567101
"62",8,6,110806,-7,-1.59876109585542
"63",8,7,95417,-8,-3.35330596004064
"64",9,1,163606,-5,0.332357699480074
"65",9,2,158247,-6,-1.16671033878915
"66",9,3,157312,-6,-1.37906549736136
"67",9,4,163345,-6,-0.31374102010383
"68",9,5,162838,-6,-0.140228544486767
"69",9,6,141070,-7,-1.62761611059037
"70",9,7,135441,-8,-3.07581555320638
"71",10,1,174516,-5,0.970269926152279
"72",10,2,168724,-6,-0.497488310754106
"73",10,3,167292,-6,-0.781604200615607
"74",10,4,174414,-5,0.541732557129203
"75",10,5,173955,-5,0.665465517741608
"76",10,6,154722,-6,-1.09408128936353
"77",10,7,157031,-7,-2.41518054815794
"78",11,1,165641,-5,1.97724391017044
"79",11,2,161251,-5,0.220834430608329
"80",11,3,160510,-6,0.108830356749684
"81",11,4,164769,-5,1.59815375562393
"82",11,5,164553,-5,1.6591860885774
"83",11,6,152499,-6,-0.196786856644373
"84",11,7,156752,-7,-1.56629967414149
"85",12,1,171861,-5,2.83341754600362
"86",12,2,166045,-5,0.790522931534208
"87",12,3,165334,-5,1.027481792854
"88",12,4,170922,-4,2.69643617272856
"89",12,5,170934,-4,2.89678371200944
"90",12,6,154715,-5,0.674576911552041
"91",12,7,163992,-6,-0.187860650045782
"92",13,1,167361,-4,3.82966601890186
"93",13,2,161208,-5,1.77824477761746
"94",13,3,160763,-5,1.84471940457871
"95",13,4,166343,-4,3.66757698236415
"96",13,5,166375,-4,3.90924142448207
"97",13,6,150922,-5,1.4191037042972
"98",13,7,163741,-5,1.26915452900112
"99",14,1,171019,-3,5.00891817617683
"100",14,2,165814,-4,2.71724074752657
"101",14,3,165280,-4,2.87795822246689
"102",14,4,169412,-3,5.3116170621314
"103",14,5,170187,-3,5.37016666370006
"104",14,6,154687,-5,2.28918778088973
"105",14,7,166005,-5,2.71182197158449
"106",15,1,161667,-3,5.78885720360712
"107",15,2,158619,-4,3.8315014106443
"108",15,3,158244,-4,4.14239504957457
"109",15,4,160062,-3,6.36263895907024
"110",15,5,160596,-2,6.75356443683472
"111",15,6,148023,-5,2.87014340702388
"112",15,7,158180,-4,3.85202025355202
"113",16,1,189688,-2,7.24013178939287
"114",16,2,185728,-3,4.94777063809825
"115",16,3,185864,-3,5.44086132794413
"116",16,4,187461,-2,8.04920731740231
"117",16,5,188702,-2,8.29701038002917
"118",16,6,167997,-5,3.51359866533841
"119",16,7,187151,-4,5.2195584209418
"120",17,1,165123,-2,8.45088954667745
"121",17,2,161203,-3,6.18233444437457
"122",17,3,162046,-3,7.06623712628737
"123",17,4,163381,-1,9.8474819876469
"124",17,5,164525,-1,9.91954044219509
"125",17,6,138960,-4,4.36572420202724
"126",17,7,162040,-3,6.81746309076614
"127",18,1,185528,-2,9.51964214559805
"128",18,2,180782,-3,7.10474230734727
"129",18,3,181473,-2,8.1345815580659
"130",18,4,182412,0,11.2953830243859
"131",18,5,184705,-1,10.6628080575224
"132",18,6,148314,-5,4.53966786532435
"133",18,7,182928,-2,8.17855147811178
"134",19,1,168728,-2,10.0120857886967
"135",19,2,164454,-3,7.55323070853035
"136",19,3,166035,-2,8.99819772485673
"137",19,4,166871,0,12.6899052343004
"138",19,5,169031,-1,11.6596830690243
"139",19,6,131377,-4,4.61682271680737
"140",19,7,166428,-2,9.32530846170694
"141",20,1,175429,-2,9.98640520008313
"142",20,2,168127,-3,7.42723228280003
"143",20,3,172240,-2,8.93293415288964
"144",20,4,174409,0,12.7804726259648
"145",20,5,176786,-1,11.7729034107194
"146",20,6,124144,-5,3.84273276590215
"147",20,7,174775,-2,9.84162704640348
"148",21,1,156741,-2,10.1004116768886
"149",21,2,150347,-3,7.54605569149259
"150",21,3,155456,-2,9.24376503726307
"151",21,4,158141,1,13.5707014372348
"152",21,5,160311,-1,12.2228021509317
"153",21,6,107099,-5,4.10114369087401
"154",21,7,159564,-1,10.4939000019033
"155",22,1,128011,-2,9.73714362475504
"156",22,2,120248,-3,6.9834165312771
"157",22,3,125010,-2,9.18757393573061
"158",22,4,128565,1,13.8110841551404
"159",22,5,130112,0,12.0515542490065
"160",22,6,79716,-5,3.6464144936325
"161",22,7,129016,-1,10.8250670136222
"162",23,1,97310,-2,8.41331616547599
"163",23,2,88488,-3,6.15231477777905
"164",23,3,94298,-3,7.89976512478416
"165",23,4,99379,0,11.9419996129913
"166",23,5,101327,-1,10.2053035673279
"167",23,6,59725,-5,2.82595571744153
"168",23,7,101112,-1,9.13367426592742
"169",24,1,7,4,23.4285714285714
"170",24,2,6,12,27.5
"171",24,3,13,-4,14.1538461538462
"172",24,4,7,-2,2.85714285714286
"173",24,5,10,-11,-10
"174",24,6,9,-2,-4.22222222222222
"175",24,7,7,-11,10.7142857142857
